ID,Edad,Type,2d2j,2d2k,2e2m,2e2n,2f2o,4a5a,4b5b,4c5c,4d5d,4e5e,4f5f,4g5g,4h5h,4i5i,4j5j,4k5k,5b6b,6a7a,6b7b,7a8e,7b8d,7c8f,7d8f,7e9b,7f9c,7g9d,7h9e,8a8b,8b8c,Age,Sex,Region
9ug8elfyastcusdqwsqy9ug8e6dzkuu0,,Pac,1,1,1,1,1,3,5,1,1,3,4,2,6,4,3,3,,1,1,2,3,2,2,1,6,2,2,3,3,48,H,Cataluña
oi5lg7qjp6vzldgcc3pwlucoi5lggeyj,,Pac,6,6,4,4,6,6,6,6,2,6,4,6,4,6,6,6,,4,5,6,5,5,1,5,6,6,5,6,4,61,H,Cataluña
i3b55bza6n96igdivf4dq6opr0vfis9q,,Pac,5,5,5,5,5,2,6,2,1,3,4,6,6,6,6,5,1,4,4,1,4,1,1,2,5,2,1,3,5,50,M,NS/NC
wwp64752rk8agntw25740bbtoawwp647,,Pac,1,1,1,1,1,6,6,6,1,1,1,6,6,6,6,6,6,6,6,4,4,1,1,1,1,1,1,1,6,49,H,Andalucía
rodgu7x61p374bxmqqyfybfsrodgu7x6,,Pac,2,2,1,1,2,4,4,3,3,5,1,2,1,5,5,1,5,4,4,1,2,1,1,1,1,1,1,1,1,47,H,NS/NC
7nzxx9kxlvif87nz3ti488yyjotx5zv0,,Pac,2,2,2,2,5,1,2,2,3,3,2,1,1,3,3,2,,2,1,4,6,2,1,2,3,2,2,1,1,58,H,Cataluña
nglpkgmrugxq7mn7donglp7wgm5nxupy,,Pac,6,6,5,5,6,6,6,6,4,4,1,6,6,6,6,6,,5,5,1,1,6,1,2,4,3,4,4,5,59,H,Andalucía
v9xvaz8oxeun36btv9xvgczu8ipmvgav,,Pac,3,3,2,2,5,6,6,6,4,6,6,1,3,6,5,4,6,5,5,6,6,6,2,1,6,6,1,4,5,47,H,Andalucía
a69yor0xgnt1ygko19a69y4q9tvubx10,,Pac,3,3,6,6,6,6,6,1,1,5,1,6,2,5,5,4,,3,3,3,4,3,1,5,5,1,1,2,5,57,H,Andalucía
kci7yyycl4b1p8kcy2veyiwhhtu2dn9n,,Pac,6,6,6,6,6,6,6,6,1,2,6,1,1,1,1,3,,1,1,6,6,6,1,2,6,6,6,6,4,26,H,Andalucía
e992nja62ansx8qjaie99ihvyo0tu0zy,,Pac,1,1,2,2,5,6,3,3,3,4,2,6,2,2,3,3,6,6,3,1,1,2,1,6,4,1,2,1,3,51,M,Andalucía
w0x6o6enf1mu31viwi3hw0x6omvw4dkl,,Pac,1,1,1,1,6,4,6,1,1,1,1,1,1,6,6,6,,5,5,6,1,6,2,1,1,1,1,2,5,50,M,Andalucía
bgu0hbg4azvqgrn9mnnvvlbgu0hbgvee,,Pac,4,4,4,4,4,6,4,4,1,6,3,1,1,1,6,6,,1,1,6,1,6,6,1,6,6,6,6,6,75,H,Andalucía
wv5u60p4m4kw80ug2wv5u6ko68r1c71e,,Pac,2,2,2,2,4,3,6,4,2,5,6,2,2,5,6,6,,5,4,4,1,4,1,5,6,2,4,5,6,29,H,NS/NC
n07tk6aketvwqcpjzin071kl9das1y0h,,Pac,4,4,3,3,5,2,3,5,1,3,3,1,1,2,5,3,6,6,2,2,4,2,1,1,6,2,1,3,4,37,H,Andalucía
4xnunke77au7qngjp4xnu49ylbjasg1m,,Pac,5,5,5,5,4,5,5,1,1,4,1,1,1,4,6,5,,5,5,5,3,4,1,1,4,5,1,3,4,58,H,Andalucía
nkq5qov4fdrk4ffonkq5qe37p63qulcj,,Pac,1,1,1,1,1,6,6,1,1,1,1,1,1,6,6,6,,1,6,1,1,1,1,6,6,1,1,1,6,70,H,Andalucía
rvdu5tisx31bjxp1kqrvduuf6niegzsv,,Pac,1,1,1,1,1,5,5,1,2,2,4,5,5,5,5,5,5,5,5,5,4,3,2,2,5,5,3,3,5,59,H,Andalucía
g6sdc24q3cydzg6sm0lsgk818cy12yio,,Pac,5,5,5,5,5,6,6,6,1,5,5,5,5,6,6,6,6,5,5,1,3,3,5,1,3,3,3,3,5,54,H,Andalucía
lwgz8yzdcv3ga35j5lwgz1lx92n9pv0e,,Pac,6,6,6,6,6,6,6,6,1,6,5,1,5,5,6,6,,5,5,6,6,6,6,6,6,6,6,6,6,49,H,Andalucía
0ld06g5lyx6monb1um0ld06g5k21l5xj,,Pac,6,6,6,6,6,3,3,2,2,2,4,1,1,1,5,5,,6,6,1,1,1,1,2,1,1,1,1,6,51,H,Andalucía
bks0wks1z1s0zc56mbks00u1toriqbni,,Pac,3,3,1,1,4,6,6,4,1,5,3,6,5,4,6,4,,4,5,1,1,1,2,4,5,3,4,2,5,22,H,Andalucía
gzb7a754x7lk63yp61dhgzb7augtj1c2,,Pac,5,5,2,2,4,5,5,1,1,5,2,4,6,5,6,6,,5,5,6,2,6,5,6,6,6,5,1,5,56,M,NS/NC
